Day Index,Symbol,Cap Type,Sector
115,APLAPOLLO,Largecap,Industrials
115,CROMPTON,Midcap,Consumer Discretionary
115,LAURUSLABS,Largecap,Healthcare
115,KALYANKJIL,Largecap,Consumer Discretionary
115,NYKAA,Largecap,I.T
115,DELHIVERY,Largecap,Transportation
115,KAYNES,Largecap,Consumer Discretionary
117,COLPAL,Largecap,FMCG
117,EICHERMOT,Largecap,Auto
117,KEI,Largecap,Industrials
117,BAJAJ-AUTO,Largecap,Auto
117,APLAPOLLO,Largecap,Industrials
117,POLYCAB,Largecap,Industrials
118,TITAN,Largecap,Consumer Discretionary
118,JSWSTEEL,Largecap,Metals & Mining
118,FEDERALBNK,Largecap,Bank
118,ASHOKLEY,Largecap,Auto
118,BRITANNIA,Largecap,FMCG
118,ADANIPORTS,Largecap,Transportation
118,INDUSTOWER,Largecap,Telecom
118,TIINDIA,Largecap,Industrials
118,KAYNES,Largecap,Consumer Discretionary
119,BLUESTARCO,Largecap,Consumer Discretionary
119,SBIN,Largecap,Bank
119,ONGC,Largecap,Energy
119,VOLTAS,Largecap,Consumer Discretionary
119,INDIANB,Largecap,Bank
119,APLAPOLLO,Largecap,Industrials
119,INDUSTOWER,Largecap,Telecom
119,AMBER,Largecap,Consumer Discretionary
119,MAXHEALTH,Largecap,Healthcare
120,BEL,Largecap,Aerospace & Defence
120,BLUESTARCO,Largecap,Consumer Discretionary
120,VEDL,Largecap,Metals & Mining
120,TATASTEEL,Largecap,Metals & Mining
120,SIEMENS,Largecap,Industrials
120,MARICO,Largecap,FMCG
120,ZYDUSLIFE,Largecap,Healthcare
120,UNIONBANK,Largecap,Bank
120,BIOCON,Largecap,Healthcare
120,INDIANB,Largecap,Bank
120,TIINDIA,Largecap,Industrials
120,BANDHANBNK,Largecap,Bank
120,SONACOMS,Largecap,Auto
120,MANKIND,Largecap,Healthcare
123,BLUESTARCO,Largecap,Consumer Discretionary
123,LUPIN,Largecap,Healthcare
123,HINDALCO,Largecap,Metals & Mining
123,VOLTAS,Largecap,Consumer Discretionary
123,APOLLOHOSP,Largecap,Healthcare
123,SUNPHARMA,Largecap,Healthcare
123,MARICO,Largecap,FMCG
123,BIOCON,Largecap,Healthcare
124,HINDALCO,Largecap,Metals & Mining
124,SHRIRAMFIN,Largecap,Financials
124,NATIONALUM,Largecap,Metals & Mining
125,BEL,Largecap,Aerospace & Defence
125,SAIL,Largecap,Metals & Mining
125,TITAN,Largecap,Consumer Discretionary
125,DRREDDY,Largecap,Healthcare
125,FEDERALBNK,Largecap,Bank
125,CUMMINSIND,Largecap,Industrials
125,BHARATFORG,Largecap,Industrials
125,SIEMENS,Largecap,Industrials
125,APOLLOHOSP,Largecap,Healthcare
125,SUPREMEIND,Largecap,Plastic products
125,JINDALSTEL,Largecap,Metals & Mining
125,UNIONBANK,Largecap,Bank
125,NTPC,Largecap,Power & Utilities
125,INDIANB,Largecap,Bank
125,ASTRAL,Largecap,Plastic products
125,MCX,Largecap,Financials
125,ADANIENSOL,Largecap,Power & Utilities
125,CROMPTON,Midcap,Consumer Discretionary
125,DMART,Largecap,Consumer Discretionary
125,AMBER,Largecap,Consumer Discretionary
125,MAZDOCK,Largecap,Aerospace & Defence
126,TORNTPHARM,Largecap,Healthcare
126,GLENMARK,Largecap,Healthcare
129,UNIONBANK,Largecap,Bank
129,PFC,Largecap,Financials
129,NHPC,Largecap,Power & Utilities
130,DRREDDY,Largecap,Healthcare
131,LUPIN,Largecap,Healthcare
131,TATAPOWER,Largecap,Power & Utilities
131,TORNTPHARM,Largecap,Healthcare
131,SUPREMEIND,Largecap,Plastic products
131,SUNPHARMA,Largecap,Healthcare
131,JINDALSTEL,Largecap,Metals & Mining
131,GLENMARK,Largecap,Healthcare
131,NTPC,Largecap,Power & Utilities
131,ASTRAL,Largecap,Plastic products
131,JSWENERGY,Largecap,Power & Utilities
136,COALINDIA,Largecap,Metals & Mining
143,INFY,Largecap,I.T
143,HCLTECH,Largecap,I.T
144,TATAELXSI,Largecap,I.T
144,TVSMOTOR,Largecap,Auto
144,INDIANB,Largecap,Bank
144,SBILIFE,Largecap,Financials
145,MPHASIS,Largecap,I.T
145,UNIONBANK,Largecap,Bank
145,TCS,Largecap,I.T
145,TECHM,Largecap,I.T
145,PERSISTENT,Largecap,I.T
145,LTM,Largecap,I.T
145,IEX,Midcap,Financials
147,INDIANB,Largecap,Bank
147,APLAPOLLO,Largecap,Industrials
149,FORCEMOT,Largecap,Auto
149,SHREECEM,Largecap,Building Materials
149,SHRIRAMFIN,Largecap,Financials
149,BANKINDIA,Largecap,Bank
149,ICICIBANK,Largecap,Bank
149,TVSMOTOR,Largecap,Auto
149,SAMMAANCAP,Midcap,Financials
149,INDIGO,Largecap,Transportation
149,MAXHEALTH,Largecap,Healthcare
149,KFINTECH,Midcap,Financials
151,BHARTIARTL,Largecap,Telecom-Service
151,PNB,Largecap,Bank
151,CDSL,Largecap,Financials
152,UNITDSPR,Largecap,FMCG
153,ONGC,Largecap,Energy
153,GODREJCP,Largecap,FMCG
154,SBIN,Largecap,Bank
154,BRITANNIA,Largecap,FMCG
154,DALBHARAT,Largecap,Building Materials
155,ABB,Largecap,Industrials
155,HDFCBANK,Largecap,Bank
